full_jaspar_motif,jaspar_motif,jaspar_name_1,jaspar_name_2,TFClass_name_1,TFClass_name_2,RNA_name_1,RNA_name_2,TFClass_subfamily_1,TFClass_family_1,TFClass_class_1,TFClass_superclass_1,TFClass_num_1,TFClass_subfamily_2,TFClass_family_2,TFClass_class_2,TFClass_superclass_2,TFClass_num_2,lowest_level_fam_1,lowest_level_fam_2
NA,NA,NA,NA,ZNF280A,NA,ZNF280A,NA,ZNF280-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.4.1,NA,NA,NA,NA,NA,ZNF280-like,NA
NA,NA,NA,NA,ZNF280B,NA,ZNF280B,NA,ZNF280-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.4.2,NA,NA,NA,NA,NA,ZNF280-like,NA
NA,NA,NA,NA,ZNF280D,NA,ZNF280D,NA,ZNF280-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.4.4,NA,NA,NA,NA,NA,ZNF280-like,NA
NA,NA,NA,NA,POGZ,NA,POGZ,NA,ZNF280-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.4.5,NA,NA,NA,NA,NA,ZNF280-like,NA
NA,NA,NA,NA,ZSCAN5B,NA,ZSCAN5B,NA,ZSCAN5-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.5.2,NA,NA,NA,NA,NA,ZSCAN5-like,NA
NA,NA,NA,NA,ZSCAN5C,NA,ZSCAN5C,NA,ZSCAN5-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.5.3,NA,NA,NA,NA,NA,ZSCAN5-like,NA
NA,NA,NA,NA,ZNF213,NA,ZNF213,NA,ZNF75-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.6.4,NA,NA,NA,NA,NA,ZNF75-like,NA
NA,NA,NA,NA,ZNF705D,NA,ZNF705D,NA,ZNF705,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.7.1,NA,NA,NA,NA,NA,ZNF705,NA
NA,NA,NA,NA,ZNF705G,NA,ZNF705G,NA,ZNF705,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.7.3,NA,NA,NA,NA,NA,ZNF705,NA
NA,NA,NA,NA,ZNF705E,NA,ZNF705E,NA,ZNF705,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.7.4,NA,NA,NA,NA,NA,ZNF705,NA
NA,NA,NA,NA,ZSCAN23,NA,ZSCAN23,NA,ZNF24-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.10.3,NA,NA,NA,NA,NA,ZNF24-like,NA
NA,NA,NA,NA,GLI4,NA,GLI4,NA,ZNF24-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.10.4,NA,NA,NA,NA,NA,ZNF24-like,NA
NA,NA,NA,NA,ZNF232,NA,ZNF232,NA,ZNF24-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.10.5,NA,NA,NA,NA,NA,ZNF24-like,NA
NA,NA,NA,NA,ZNF683,NA,ZNF683,NA,PRDM1-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.12.2,NA,NA,NA,NA,NA,PRDM1-like,NA
NA,NA,NA,NA,ZBTB20,NA,ZBTB20,NA,ZBTB20-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.14.1,NA,NA,NA,NA,NA,ZBTB20-like,NA
NA,NA,NA,NA,ZBTB45,NA,ZBTB45,NA,ZBTB20-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.14.2,NA,NA,NA,NA,NA,ZBTB20-like,NA
NA,NA,NA,NA,ZNF524,NA,ZNF524,NA,ZNF524-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.15.1,NA,NA,NA,NA,NA,ZNF524-like,NA
NA,NA,NA,NA,ZNF581,NA,ZNF581,NA,ZNF524-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.15.2,NA,NA,NA,NA,NA,ZNF524-like,NA
NA,NA,NA,NA,ZBTB42,NA,ZBTB42,NA,ZNF238-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.16.2,NA,NA,NA,NA,NA,ZNF238-like,NA
NA,NA,NA,NA,ZNF500,NA,ZNF500,NA,ZNF500-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.19.1,NA,NA,NA,NA,NA,ZNF500-like,NA
NA,NA,NA,NA,ZNF853,NA,ZNF853,NA,ZNF500-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.19.2,NA,NA,NA,NA,NA,ZNF500-like,NA
NA,NA,NA,NA,ZKSCAN2,NA,ZKSCAN2,NA,ZNF500-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.19.3,NA,NA,NA,NA,NA,ZNF500-like,NA
NA,NA,NA,NA,FEZF1,NA,FEZF1,NA,FEZF,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.20.1,NA,NA,NA,NA,NA,FEZF,NA
NA,NA,NA,NA,FEZF2,NA,FEZF2,NA,FEZF,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.20.2,NA,NA,NA,NA,NA,FEZF,NA
NA,NA,NA,NA,GFI1B,NA,GFI1B,NA,GFI1,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.21.2,NA,NA,NA,NA,NA,GFI1,NA
NA,NA,NA,NA,ZNF212,NA,ZNF212,NA,ZNF212-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.23.1,NA,NA,NA,NA,NA,ZNF212-like,NA
NA,NA,NA,NA,ZNF777,NA,ZNF777,NA,ZNF212-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.23.2,NA,NA,NA,NA,NA,ZNF212-like,NA
NA,NA,NA,NA,PLAGL1,NA,PLAGL1,NA,PLAG,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.25.3,NA,NA,NA,NA,NA,PLAG,NA
NA,NA,NA,NA,ZKSCAN4,NA,ZKSCAN4,NA,ZKSCAN3-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.26.2,NA,NA,NA,NA,NA,ZKSCAN3-like,NA
NA,NA,NA,NA,ZNF525,NA,ZNF525,NA,ZNF525-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.27.1,NA,NA,NA,NA,NA,ZNF525-like,NA
NA,NA,NA,NA,ZNF765,NA,ZNF765,NA,ZNF525-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.27.3,NA,NA,NA,NA,NA,ZNF525-like,NA
NA,NA,NA,NA,ZNF468,NA,ZNF468,NA,ZNF525-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.27.4,NA,NA,NA,NA,NA,ZNF525-like,NA
NA,NA,NA,NA,ZBTB47,NA,ZBTB47,NA,ZNF652-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.29.2,NA,NA,NA,NA,NA,ZNF652-like,NA
NA,NA,NA,NA,ZNF577,NA,ZNF577,NA,ZNF350-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.30.2,NA,NA,NA,NA,NA,ZNF350-like,NA
NA,NA,NA,NA,ZNF613,NA,ZNF613,NA,ZNF350-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.30.4,NA,NA,NA,NA,NA,ZNF350-like,NA
NA,NA,NA,NA,ZNF614,NA,ZNF614,NA,ZNF350-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.30.5,NA,NA,NA,NA,NA,ZNF350-like,NA
NA,NA,NA,NA,ZNF570,NA,ZNF570,NA,ZNF642-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.31.3,NA,NA,NA,NA,NA,ZNF642-like,NA
NA,NA,NA,NA,ZNF583,NA,ZNF583,NA,ZNF642-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.31.4,NA,NA,NA,NA,NA,ZNF642-like,NA
NA,NA,NA,NA,ZNF679,NA,ZNF679,NA,ZNF679-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.32.1,NA,NA,NA,NA,NA,ZNF679-like,NA
NA,NA,NA,NA,ZNF763,NA,ZNF763,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.1,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF844,NA,ZNF844,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.2,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF625,NA,ZNF625,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.3,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF670,NA,ZNF670,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.5,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF124,NA,ZNF124,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.6,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF627,NA,ZNF627,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.7,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF439,NA,ZNF439,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.8,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF440,NA,ZNF440,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.9,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF77,NA,ZNF77,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.10,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF490,NA,ZNF490,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.11,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF563,NA,ZNF563,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.12,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF57,NA,ZNF57,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.13,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF564,NA,ZNF564,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.16,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF20,NA,ZNF20,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.17,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF878,NA,ZNF878,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.18,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF555,NA,ZNF555,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.19,NA,NA,NA,NA,NA,ZNF763-like,NA
NA,NA,NA,NA,ZNF3,NA,ZNF3,NA,ZNF3-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.34.1,NA,NA,NA,NA,NA,ZNF3-like,NA
NA,NA,NA,NA,ZNF397,NA,ZNF397,NA,ZNF3-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.34.2,NA,NA,NA,NA,NA,ZNF3-like,NA
NA,NA,NA,NA,ZNF620,NA,ZNF620,NA,ZNF620-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.35.1,NA,NA,NA,NA,NA,ZNF620-like,NA
NA,NA,NA,NA,ZNF621,NA,ZNF621,NA,ZNF620-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.35.2,NA,NA,NA,NA,NA,ZNF620-like,NA
NA,NA,NA,NA,ZNF566,NA,ZNF566,NA,ZNF620-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.35.3,NA,NA,NA,NA,NA,ZNF620-like,NA
NA,NA,NA,NA,ZNF619,NA,ZNF619,NA,ZNF620-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.35.4,NA,NA,NA,NA,NA,ZNF620-like,NA
NA,NA,NA,NA,ZNF829,NA,ZNF829,NA,ZNF620-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.35.6,NA,NA,NA,NA,NA,ZNF620-like,NA
NA,NA,NA,NA,ZNF324B,NA,ZNF324B,NA,ZNF324,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.36.2,NA,NA,NA,NA,NA,ZNF324,NA
NA,NA,NA,NA,ZNF362,NA,ZNF362,NA,ZNF362-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.37.1,NA,NA,NA,NA,NA,ZNF362-like,NA
NA,NA,NA,NA,ZNF398,NA,ZNF398,NA,ZNF282-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.38.2,NA,NA,NA,NA,NA,ZNF282-like,NA
NA,NA,NA,NA,ZNF764,NA,ZNF764,NA,ZNF764-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.39.1,NA,NA,NA,NA,NA,ZNF764-like,NA
NA,NA,NA,NA,ZNF785,NA,ZNF785,NA,ZNF764-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.39.2,NA,NA,NA,NA,NA,ZNF764-like,NA
NA,NA,NA,NA,ZNF771,NA,ZNF771,NA,ZNF764-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.39.3,NA,NA,NA,NA,NA,ZNF764-like,NA
NA,NA,NA,NA,ZNF177,NA,ZNF177,NA,ZNF177-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.40.1,NA,NA,NA,NA,NA,ZNF177-like,NA
NA,NA,NA,NA,ZNF891,NA,ZNF891,NA,ZNF177-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.40.2,NA,NA,NA,NA,NA,ZNF177-like,NA
NA,NA,NA,NA,ZNF333,NA,ZNF333,NA,ZNF177-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.40.3,NA,NA,NA,NA,NA,ZNF177-like,NA
NA,NA,NA,NA,ZNF32,NA,ZNF32,NA,ZNF32-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.41.1,NA,NA,NA,NA,NA,ZNF32-like,NA
NA,NA,NA,NA,ZIK1,NA,ZIK1,NA,ZNF32-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.41.2,NA,NA,NA,NA,NA,ZNF32-like,NA
NA,NA,NA,NA,ZNF557,NA,ZNF557,NA,ZNF558-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.43.2,NA,NA,NA,NA,NA,ZNF558-like,NA
NA,NA,NA,NA,ZNF302,NA,ZNF302,NA,ZNF302-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.44.1,NA,NA,NA,NA,NA,ZNF302-like,NA
NA,NA,NA,NA,ZNF2,NA,ZNF2,NA,ZNF302-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.44.2,NA,NA,NA,NA,NA,ZNF302-like,NA
NA,NA,NA,NA,ZNF181,NA,ZNF181,NA,ZNF302-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.44.3,NA,NA,NA,NA,NA,ZNF302-like,NA
NA,NA,NA,NA,ZNF562,NA,ZNF562,NA,ZNF562-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.45.1,NA,NA,NA,NA,NA,ZNF562-like,NA
NA,NA,NA,NA,ZNF561,NA,ZNF561,NA,ZNF562-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.45.3,NA,NA,NA,NA,NA,ZNF562-like,NA
NA,NA,NA,NA,ZNF559,NA,ZNF559,NA,ZNF562-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.45.4,NA,NA,NA,NA,NA,ZNF562-like,NA
NA,NA,NA,NA,ZNF846,NA,ZNF846,NA,ZNF562-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.45.5,NA,NA,NA,NA,NA,ZNF562-like,NA
NA,NA,NA,NA,ZXDB,NA,ZXDB,NA,ZXD,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.46.2,NA,NA,NA,NA,NA,ZXD,NA
NA,NA,NA,NA,ZXDC,NA,ZXDC,NA,ZXD,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.46.3,NA,NA,NA,NA,NA,ZXD,NA
NA,NA,NA,NA,ZNF222,NA,ZNF222,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.1,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF223,NA,ZNF223,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.2,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF230,NA,ZNF230,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.3,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF155,NA,ZNF155,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.4,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF221,NA,ZNF221,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.5,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF224,NA,ZNF224,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.6,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF225,NA,ZNF225,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.7,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF284,NA,ZNF284,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.8,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF235,NA,ZNF235,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.9,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF45,NA,ZNF45,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.10,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF229,NA,ZNF229,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.11,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF227,NA,ZNF227,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.12,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF226,NA,ZNF226,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.13,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF234,NA,ZNF234,NA,ZNF222-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.47.14,NA,NA,NA,NA,NA,ZNF222-like,NA
NA,NA,NA,NA,ZNF736,NA,ZNF736,NA,ZNF736-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.48.1,NA,NA,NA,NA,NA,ZNF736-like,NA
NA,NA,NA,NA,ZNF727,NA,ZNF727,NA,ZNF736-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.48.2,NA,NA,NA,NA,NA,ZNF736-like,NA
NA,NA,NA,NA,ZNF286A,NA,ZNF286A,NA,ZNF286,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.49.1,NA,NA,NA,NA,NA,ZNF286,NA
NA,NA,NA,NA,ZNF286B,NA,ZNF286B,NA,ZNF286,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.49.2,NA,NA,NA,NA,NA,ZNF286,NA
NA,NA,NA,NA,ZNF366,NA,ZNF366,NA,ZNF366-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.51.1,NA,NA,NA,NA,NA,ZNF366-like,NA
NA,NA,NA,NA,ZNF710,NA,ZNF710,NA,ZNF366-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.51.2,NA,NA,NA,NA,NA,ZNF366-like,NA
NA,NA,NA,NA,ZNF548,NA,ZNF548,NA,ZNF548-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.53.1,NA,NA,NA,NA,NA,ZNF548-like,NA
NA,NA,NA,NA,ZNF776,NA,ZNF776,NA,ZNF548-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.53.2,NA,NA,NA,NA,NA,ZNF548-like,NA
NA,NA,NA,NA,ZNF805,NA,ZNF805,NA,ZNF460-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.54.3,NA,NA,NA,NA,NA,ZNF460-like,NA
NA,NA,NA,NA,ZNF543,NA,ZNF543,NA,ZNF460-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.54.4,NA,NA,NA,NA,NA,ZNF460-like,NA
NA,NA,NA,NA,ZNF599,NA,ZNF599,NA,ZNF460-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.54.5,NA,NA,NA,NA,NA,ZNF460-like,NA
NA,NA,NA,NA,ZNF146,NA,ZNF146,NA,ZNF146-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.55.1,NA,NA,NA,NA,NA,ZNF146-like,NA
NA,NA,NA,NA,ZNF260,NA,ZNF260,NA,ZNF146-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.55.2,NA,NA,NA,NA,NA,ZNF146-like,NA
NA,NA,NA,NA,ZNF285,NA,ZNF285,NA,ZNF214-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.56.2,NA,NA,NA,NA,NA,ZNF214-like,NA
NA,NA,NA,NA,ZNF233,NA,ZNF233,NA,ZNF214-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.56.3,NA,NA,NA,NA,NA,ZNF214-like,NA
NA,NA,NA,NA,ZNF479,NA,ZNF479,NA,ZNF479-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.57.1,NA,NA,NA,NA,NA,ZNF479-like,NA
NA,NA,NA,NA,ZNF180,NA,ZNF180,NA,ZNF180-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.58.1,NA,NA,NA,NA,NA,ZNF180-like,NA
